name,lanes,road_capacity_from_conversion,highway,oneway,road_capacity
Joaquin Auz,,1,residential,,0.076245223215
La Brújula,,1,residential,,0.063280037316
El Telegrafo,,1,residential,,0.569120593412
,,1,residential,,0.092464849243
Vicente Cardenas,,1,residential,no,0.0784305436572
Calle Maria Ayora,,1,residential,yes,0.339300136544
Agustin Guerrero,,1,residential,yes,0.125918274499
,,3,secondary_link,yes,0.275319593497
Alfonso Pereira,,1,residential,yes,0.495563123575
Juan Villalengua,,1,residential,yes,0.496046144889
Juaquin Auz,,1,residential,no,0.0739227604788
Union Nacional de Periodistas,,1,residential,yes,0.138648969025
,,3,secondary,yes,0.187963046612
Iñaquito,,1,residential,yes,0.0490889142601
,,1,residential,,0.0648705481168
Nuñez de Vela,,1,residential,,0.184148945761
N39c,,1,residential,,0.0505703584506
E14a,,1,residential,,0.051907691133
Jorge Padilla,,1,residential,,0.184931222178
Tomas Moro,,1,residential,-1,0.0651281948358
Azuay,,1,residential,,0.116012101433
Azuay,,1,residential,,0.193601602811
Jorge Padilla,,1,residential,,0.0457635381636
,,1,residential,,0.0388837149841
Felix Sauna,,1,residential,,0.188244561243
Urela Jeronimo,,1,residential,,0.179415445241
Pedro Biena,,1,residential,,0.112130555001
Matias Grancas,,1,residential,,0.147862003424
Juan Baltazar Bereche,,1,unclassified,,0.137148702609
Raygada,,1,residential,,0.253629675296
Mariano Turrey,,1,residential,,0.134179808196
Esteban de la Rosa,,1,residential,,0.133840659806
Frias,,1,residential,,0.134514526177
Julián,,1,residential,,0.125829630088
Zambrano,,1,residential,,0.13663915902
Juan Bautista Quince,,1,residential,,0.131630344245
Valdivieso,,1,residential,,0.136325799017
Carrasco,,1,residential,,0.13580923195
Mogolion,,1,residential,,0.134917912584
Papallacta,,1,residential,no,0.148691747265
Oe1,,1,residential,,0.058102816348
Segovia,,1,residential,,0.0759756370985
Calle 1 (OE8),,1,unclassified,,0.270352781777
Avenida del Parque,,1,residential,,0.323540915059
Avenida Parque,,1,residential,yes,0.298491584014
Calle 2 (OE9),,1,residential,,0.370020023646
Calle 1A,,1,residential,,0.116009544454
,,1,residential,,0.143475164638
Calle Pita Francisco,,1,residential,,0.154149584953
Stacey Leonor,,1,residential,no,0.309162737111
José Rangada,,1,residential,,0.503431644131
,,1,residential,,0.151414551835
,,1,residential,,0.0663586664789
,,1,residential,
Agustin Guerrero,,1,residential,,0.18080468853
Antonio Granda Centeno,,1,residential,no,0.946292488419
Sancho de Andrade,,1,unclassified,,0.268451461014
Hidalgo de Pinto,,1,residential,yes,0.251010545848
Pedro Sarmiento De Gamboa,,1,residential,no,0.497265006137
Torres Alonso,,1,residential,no,0.452191851846
Jose Jussieu,,1,residential,,0.176826255447
James Colnet,,1,residential,no,0.210300759543
Beck Rollo,,1,residential,,0.213279039953
,,4,trunk_link,yes,0.16037581329
Mariano Egas,,1,residential,,0.329365310241
Calle Sancho Escobar,,1,unclassified,,0.329365310294
,,1,residential,,0.0294737471219
,,1,residential,,0.0450489962729
Oe 5c,,1,residential,,0.147434833141
Juan Villalengua,,1,unclassified,,0.0860458093639
Calle 2,,1,residential,,0.12889522368
,,1,residential,,0.177115889443
Alejandro Càrdenas,,1,residential,no,0.617651905578
Calle A,,1,residential,,0.278772538686
Alejandro Cárdenas,,1,residential,no,0.126516412784
,,1,residential,,0.133710022665
Escalinata 3,,1,residential,,0.196217547832
,,1,residential,,0.0914782437548
,,1,residential,,0.0946855946205
Calle D,,1,residential,,0.0926971928193
,,1,residential,,0.134882789668
E21a,,1,residential,,0.375735983988
E21b,,1,residential,,0.329153062723
s4d,,1,residential,,0.154611876345
Calle C,,1,residential,,0.110317320252
,,1,residential,,0.163314436849
Calle B,,1,residential,,0.0659785225822
San Salvador,,1,residential,no,0.0885301630675
Martin Carrión,,1,residential,yes,0.075220853121
Mariana de Jesús,,1,residential,yes,0.328921312759
Mariano Aguilera,,1,residential,yes,0.392784872157
Belo Horizonte,,1,residential,,0.148078207674
Avenida 6 De Diciembre,,3,secondary,yes,0.645163093727
