name,lanes,road_capacity_from_conversion,highway,oneway,distance,road_capacity
,,1,service,,0.218896628466,0.437793256932
Fort Washington Place,1,1,residential,,0.0773584652054,0.154716930411
,2,3,secondary_link,yes,0.0303453652754,0.0910360958263
,,1,service,,0.277446591131,0.554893182261
,2,4,trunk_link,yes,0.231714392481,0.926857569925
Storrow Drive,2,4,trunk,yes,0.201295067946,0.805180271782
,2,4,trunk_link,yes,0.116668894013,0.466675576054
Storrow Drive,3,4,trunk,yes,1.0290495692,4.11619827679
,2,4,trunk_link,yes,0.156703239677,0.626812958709
,,1,service,,0.142819420851,0.285638841701
Arlington Street,3,3,secondary,yes,0.170937666667,0.512813000002
Beacon Street,4,3,secondary,yes,0.0437667774136,0.131300332241
Beacon Street,4,3,secondary,yes,0.175994580594,0.527983741782
Broadway,2,3,secondary,,0.221684551909,1.33010731146
Binney Street,2,3,secondary,yes,0.086233134824,0.258699404472
,2,4,trunk_link,yes,0.120394113283,0.481576453132
,1,4,trunk_link,yes,0.157189531676,0.628758126706
Bowker Overpass,2,4,trunk,yes,0.223339931378,0.893359725511
,,1,service,,0.0597613106827,0.119522621365
,2,4,trunk_link,yes,0.225106194974,0.900424779895
Commonwealth Avenue,2,3,primary,yes,1.75335600102,5.26006800306
Massachusetts Avenue,4,3,primary,,0.0306818544801,0.18409112688
,,1,service,,0.107240332767,0.214480665533
Land Boulevard,2,4,trunk,yes,0.0926110566756,0.370444226702
First Street,2,2,tertiary,yes,0.0620192444536,0.124038488907
Longfellow Bridge,2,4,trunk,yes,0.0719418817623,0.287767527049
,1,4,trunk_link,yes,0.145383509158,0.581534036631
,2,4,trunk_link,yes,0.221892114573,0.887568458293
Storrow Drive,1,4,trunk,yes,0.529574960451,2.11829984181
