name,lanes,road_capacity_from_conversion,highway,oneway
Ang Mo Kio Avenue 10,,3,secondary,
Bedok North Flyover,,3,primary,yes
Bedok North Flyover,,3,primary,yes
Bedok North road,,3,primary,yes
Bedok North Road,,3,primary,yes
Bedok Reservoir Road,,3,primary,yes
Kaki Bukit Avenue 1,,3,primary,yes
,,3,primary_link,
Bedok Reservoir Road,,3,secondary,
Jalan Tenaga,,1,residential,
Jalan Damai,,1,residential,
Kaki Bukit Road 3,,1,unclassified,
Kaki Bukit Avenue 2,,1,unclassified,
,,3,primary,yes
,,1,unclassified,
Tampines Avenue 6,2,3,secondary,
Tampines Industrial Ave 5,,1,unclassified,
Petir Road,,3,secondary,yes
Gangsa Road,,1,residential,
Pending Road,,2,tertiary,
Fajar Road,,1,residential,
Bukit Panjang Ring Road,,3,secondary,
Choa Chu Kang West Flyover,,3,primary,yes
Choa Chu Kang West Flyover,,3,primary,yes
,,4,motorway_link,yes
,,4,motorway_link,yes
,,4,motorway_link,yes
,,4,motorway_link,yes
Clementi Road,,3,primary,yes
Keong Saik Road,,1,residential,
Keong Saik Road,,1,residential,yes
Smith Street,,1,residential,
Bukit Pasoh Road,,1,residential,
,,1,residential,yes
Teo Hong Road,,1,residential,
Bukit Batok Street 52,,1,residential,
Upper Aljunied Road,,3,primary,
Choa Chu Kang Drive,,2,tertiary,
Choa Chu Kang Drive,,3,secondary,
Choa Chu Kang Avenue 3,,1,residential,
Teck Whye Crescent,,1,residential,
Teck Whye Lane,,1,residential,
Choa Chu Kang Central,,1,residential,
Choa Chu Kang Way,,3,primary,yes
Choa Chu Kang Way,,3,primary,yes
Choa Chu Kang Avenue 4,,1,residential,
Choa Chu Kang Loop,,1,residential,no
Choa Chu Kang Avenue 1,,2,tertiary,
Teck Whye Lane,,1,residential,
Teck Whye Lane,,1,residential,
Jalan Teck Whye,,1,residential,
Choa Chu Kang Central,,1,residential,
Choa Chu Kang Way,,3,primary,yes
Jelebu Road,,3,secondary,
Senja Road,,1,residential,
,,1,residential,
Bedok Reservoir Road,,3,secondary,
Bedok North Road,,3,primary,yes
Tampines Avenue 7,,3,secondary,yes
Tampines Street 41,,2,tertiary,
Tampines Street 41,,1,residential,
Tampines Street 42,,1,residential,
Tampines Street 21,,1,residential,
Tampines Street 21,,2,tertiary,
Tampines Street 33,,2,tertiary,
Tampines Street 34,,2,tertiary,
Tampines Avenue 12,,3,primary,yes
Tampines Central 1,,1,residential,yes
,,2,tertiary,
Geylang Serai,,1,residential,yes
Geylang East Central,,3,secondary,
Aljunied Road,,3,primary,yes
Sims Drive,,2,tertiary,
Sims Drive,,2,tertiary,
Aljunied Road,,3,primary_link,yes
Upper Aljunied Road,,3,primary,yes
Sims Avenue,,3,primary,yes
Choa Chu Kang North 5,,1,residential,
Choa Chu Kang Street 62,,1,residential,
Choa Chu Kang North 7,,1,residential,
Choa Chu Kang Cresent,,1,residential,
Choa Chu Kang Street 64,,1,residential,yes
Choa Chu Kang Way,,3,primary,yes
,,4,motorway_link,yes
Ang Mo Kio Avenue 8,,3,primary,yes
,,3,primary_link,-1
,,3,primary_link,yes
,,3,primary_link,yes
Jelapang Road,,1,residential,
Saujana Road,,1,residential,
,,1,residential,
Segar Road,,1,residential,
Bukit Batok East Avenue 6,,3,secondary,
Bukit Batok Street 23,,1,residential,
Hougang Street 21,,1,residential,
,,4,trunk_link,yes
Clementi Road,4,3,primary,yes
University Flyover,,3,primary,yes
,,3,primary_link,
Sungei Kadut Loop,,1,residential,
Sungei Kadut Cresent,,1,residential,
Sungei Kadut Street 3,,1,residential,
Sungei Kadut Street 5,,1,residential,
Sungei Kadut Street 4,,1,residential,
Choa Chu Kang Way,,3,primary,yes
Jalan Boon Lay,,3,primary,yes
Sungei Kadut Street 2,,1,residential,
Sungei Kadut Avenue,,2,tertiary,
Sungei Kadut Street 1,,1,residential,
Sungei Kadut Way,,1,residential,
,,2,tertiary,
Sungei Kadut Avenue,,2,tertiary,yes
Mandai Estate,,1,residential,
Mandai Estate,,1,residential,
Mandai Road,,3,primary,yes
Old Choa Chu Kang Road,,3,secondary,yes
Lim Chu Kang Road,,3,primary,yes
Lim Chu Kang Road,,3,primary,yes
